timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/04 00:49:19.493, 4 %, 3 %, 48008 MiB, 84.47 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:19.595, 22 %, 9 %, 48008 MiB, 88.03 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:19.697, 22 %, 9 %, 48008 MiB, 89.85 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:19.799, 8 %, 4 %, 48008 MiB, 87.17 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:19.900, 8 %, 4 %, 48008 MiB, 84.79 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.002, 18 %, 3 %, 48008 MiB, 86.04 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.103, 18 %, 3 %, 48008 MiB, 87.47 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.204, 31 %, 5 %, 48008 MiB, 88.97 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.306, 31 %, 5 %, 48008 MiB, 86.55 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.407, 29 %, 5 %, 48008 MiB, 86.75 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.509, 29 %, 5 %, 48008 MiB, 86.80 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.611, 0 %, 0 %, 48008 MiB, 86.82 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.712, 0 %, 0 %, 48008 MiB, 81.41 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.815, 0 %, 0 %, 48008 MiB, 83.35 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:20.917, 25 %, 12 %, 48008 MiB, 86.07 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.021, 25 %, 12 %, 48008 MiB, 85.31 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.123, 1 %, 1 %, 48008 MiB, 83.90 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.224, 1 %, 1 %, 48008 MiB, 82.34 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.326, 0 %, 0 %, 48008 MiB, 80.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.427, 0 %, 0 %, 48008 MiB, 81.26 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.529, 27 %, 13 %, 48008 MiB, 84.52 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.630, 27 %, 13 %, 48008 MiB, 84.73 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.732, 0 %, 0 %, 48008 MiB, 84.77 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.833, 0 %, 0 %, 48008 MiB, 84.97 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:21.935, 31 %, 13 %, 48008 MiB, 88.21 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.037, 31 %, 13 %, 48008 MiB, 85.35 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.138, 0 %, 0 %, 48008 MiB, 84.81 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.240, 0 %, 0 %, 48008 MiB, 86.06 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.341, 29 %, 5 %, 48008 MiB, 87.65 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.443, 29 %, 5 %, 48008 MiB, 89.02 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.544, 30 %, 5 %, 48008 MiB, 88.76 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.646, 30 %, 5 %, 48008 MiB, 87.31 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.747, 19 %, 3 %, 47998 MiB, 87.40 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.849, 19 %, 3 %, 47998 MiB, 87.41 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:22.950, 0 %, 0 %, 47998 MiB, 87.30 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.052, 0 %, 0 %, 47998 MiB, 82.12 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.153, 0 %, 0 %, 47998 MiB, 81.97 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.256, 0 %, 0 %, 47998 MiB, 81.96 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.358, 0 %, 0 %, 47998 MiB, 80.74 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.459, 0 %, 0 %, 47998 MiB, 79.16 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.561, 0 %, 0 %, 47998 MiB, 77.81 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.662, 0 %, 0 %, 47998 MiB, 76.03 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.764, 0 %, 0 %, 46846 MiB, 74.18 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.866, 0 %, 0 %, 43038 MiB, 74.52 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:23.967, 82 %, 6 %, 39230 MiB, 75.30 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.069, 82 %, 6 %, 35198 MiB, 77.19 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.170, 91 %, 7 %, 31166 MiB, 79.18 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.272, 91 %, 7 %, 27134 MiB, 81.16 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.374, 92 %, 7 %, 23102 MiB, 83.15 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.476, 92 %, 7 %, 19038 MiB, 85.14 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.578, 92 %, 7 %, 15006 MiB, 87.15 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.680, 92 %, 7 %, 10942 MiB, 89.15 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.781, 92 %, 7 %, 6942 MiB, 91.15 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.883, 92 %, 7 %, 2878 MiB, 93.16 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:24.985, 92 %, 7 %, 286 MiB, 94.57 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.086, 92 %, 7 %, 286 MiB, 95.30 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.188, 16 %, 1 %, 286 MiB, 94.50 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.289, 16 %, 1 %, 286 MiB, 93.66 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.391, 0 %, 0 %, 286 MiB, 92.85 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.492, 0 %, 0 %, 286 MiB, 92.02 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.594, 0 %, 0 %, 286 MiB, 91.19 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.697, 0 %, 0 %, 286 MiB, 90.37 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.798, 0 %, 0 %, 286 MiB, 89.54 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:25.900, 0 %, 0 %, 286 MiB, 88.71 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:26.001, 0 %, 0 %, 284 MiB, 87.85 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:26.103, 0 %, 0 %, 284 MiB, 87.04 W, 1920 MHz, 7600 MHz
2026/07/04 00:49:26.204, 0 %, 0 %, 284 MiB, 86.69 W, 1920 MHz, 7600 MHz
